"","q","q.p","n","rho","coef","K","sd"
"1",108,0.626239080540836,134,0.461395035800524,0,6,0.0937070798280593
"2",36,0.490268122218549,297,0.85299449719023,0,14,0.0587573050275483
"3",52,0.483557547489181,1088,0.0988214360084385,0,17,0.0295094907837863
"4",19,0.637168955919333,153,0.737016795482487,0,16,0.0830947379704445
"5",158,0.506877026380971,1806,0.339607896097004,0,13,0.0234463515375188
"6",152,0.96094779279083,863,0.500976943038404,0,19,0.031734995941468
"7",39,0.859987315000035,172,0.282484068023041,0,8,0.0781012561117395
"8",59,0.300491742393933,1401,0.074108592281118,0,14,0.0274957810389585
"9",163,0.478153159306385,1143,0.701943788048811,0,19,0.0283348325922632
"10",129,0.477984641981311,1298,0.173911255574785,0,8,0.0267256810325526
"11",156,0.118711763992906,1089,0.590026920824312,0,7,0.0295841885687143
"12",21,0.442403172585182,213,0.391632347996347,0,19,0.0682875644634479
"13",75,0.480113584827632,780,0.177433493896388,0,18,0.0345477840264032
"14",189,0.272283457079902,497,0.895194379985332,0,11,0.0452803590965061
"15",81,0.734796353569254,1664,0.402068579779007,0,13,0.0240850641436015
"16",167,0.112168427719735,1902,0.028283997788094,0,7,0.0224119377377558
"17",190,0.758082795189694,1055,0.843314902321436,0,16,0.0303814018102342
"18",186,0.489451688178815,119,0.783885558857582,0,7,0.0962390632839208
"19",17,0.758116083708592,564,0.541121655050665,0,13,0.041631899624723
"20",72,0.112547397240996,1359,0.269113910710439,0,15,0.0267462842808099
"21",131,0.140781977633014,1103,0.728411647654139,0,6,0.0309673087136002
"22",29,0.476572938798927,1302,0.856928146560676,0,6,0.0270500356820008
"23",33,0.679456001915969,956,0.766848574136384,0,13,0.0328928169493793
"24",185,0.29781440703664,368,0.114578762277961,0,8,0.0527985144458469
"25",20,0.850098387547769,1199,0.871994114806876,0,12,0.0273375430000789
"26",173,0.725290582189336,934,0.501390907843597,0,19,0.0320553308221258
"27",13,0.909212036686949,1215,0.00482800262980163,0,13,0.028170986823401
"28",41,0.472816256759688,1551,0.122187527711503,0,10,0.0242308328944235
"29",58,0.469904232933186,591,0.00526239140890539,0,7,0.0416392694033282
"30",28,0.325013490463607,1390,0.735186655959114,0,13,0.0270235148293104
"31",18,0.436390335136093,1142,0.70394722907804,0,3,0.0293034182044688
"32",162,0.308703459403478,1134,0.837959657236934,0,4,0.0295752373843955
"33",113,0.938442848180421,1186,0.331820894102566,0,14,0.0291080377393945
"34",194,0.528710279637016,1479,0.877009386755526,0,16,0.0251619205050152
"35",120,0.142898502689786,505,0.741369313700125,0,5,0.0447493201969099
"36",115,0.79617795040831,254,0.708703976939432,0,18,0.0662779043198501
"37",44,0.39800559647847,357,0.560543251200579,0,6,0.0532526093843963
"38",123,0.597588823549449,1375,0.870619435957633,0,6,0.0270694326573892
"39",171,0.708697476028465,489,0.449926641583443,0,3,0.0447714519226373
"40",76,0.349600933794864,1866,0.804326039669104,0,19,0.0223149790495514
"41",18,0.147570110531524,327,0.36093892226927,0,6,0.0561682295810574
"42",180,0.483182725333609,922,0.402787448675372,0,19,0.0335570993753514
"43",69,0.649106633826159,605,0.842201173910871,0,9,0.0403377589857956
"44",155,0.978441431559622,147,0.61499897763133,0,7,0.0851909023779002
"45",30,0.972820108197629,1505,0.0163468171376735,0,11,0.0253713394744688
"46",50,0.179636101610959,1890,0.148974045901559,0,8,0.0230807698015995
"47",27,0.548542033531703,767,0.446251049009152,0,11,0.0353984821156099
"48",195,0.456120431004092,896,0.383881705231033,0,5,0.0318419162520133
"49",153,0.451298736175522,295,0.892847808566876,0,11,0.0594564522685923
"50",85,0.386649541766383,780,0.80005511152558,0,19,0.0361165829697922
"51",43,0.714317548810504,488,0.311179834138602,0,5,0.0455146477481428
"52",75,0.35615341681987,1747,0.635259712510742,0,8,0.0241999078615424
