"","q","q.p","n","rho","coef","K","sd"
"1",134,0.771649455954321,1894,0,0,17,0.0181138249635455
"2",114,0.323680026270449,1424,0,0,12,0.021518720441691
"3",150,0.520257899956778,1952,0,0,11,0.0180385836954652
"4",79,0.13985859407112,1564,0,0,11,0.0208020572386337
"5",134,0.188439310248941,671,0,0,19,0.0322524084287635
"6",132,0.907385071809404,1876,0,0,11,0.0180176305187719
"7",192,0.653633634769358,350,0,0,12,0.0430585786278111
"8",151,0.676639000163414,1837,0,0,7,0.0187629567541847
"9",198,0.514901908882894,1069,0,0,13,0.0240575937404119
"10",125,0.351758307637647,1896,0,0,18,0.0178853960859163
"11",45,0.95045522141736,1070,0,0,16,0.0241907281237491
"12",9,0.120764552010223,1100,0,0,16,0.02404987512653
"13",126,0.259581453539431,623,0,0,15,0.0322433931449976
"14",10,0.974285314534791,1256,0,0,17,0.0221709404915653
"15",118,0.819763980736025,1979,0,0,16,0.0176333145710839
"16",31,0.999685912695713,1185,0,0,9,0.0228435852061263
"17",144,0.334669107431546,1703,0,0,12,0.0188965632025499
"18",102,0.623964392533526,735,0,0,11,0.0297761022572165
"19",146,0.165064749470912,1477,0,0,15,0.0201520051123267
"20",134,0.822055330290459,707,0,0,16,0.0304907352694943
"21",84,0.892508828570135,292,0,0,18,0.0487651919872134
"22",147,0.900666585192084,1718,0,0,7,0.0199040103211472
"23",65,0.110194306168705,1107,0,0,15,0.0248066105958632
"24",127,0.317260509566404,1006,0,0,16,0.0252358442723342
"25",121,0.646542007825337,1674,0,0,10,0.0191140020990006
"26",156,0.426448508445174,1152,0,0,9,0.023078112238576
"27",135,0.738287793425843,574,0,0,5,0.034108354008004
"28",38,0.137865664577112,571,0,0,15,0.0333627878230518
"29",47,0.691453927685507,104,0,0,16,0.0920181788048873
"30",172,0.307620497816242,1061,0,0,15,0.0246151455910932
"31",63,0.345679635368288,524,0,0,15,0.0350313733303372
"32",34,0.759847399964929,1661,0,0,16,0.0196692386317603
"33",148,0.260430580773391,1407,0,0,20,0.0215387612671007
"34",141,0.447070841770619,914,0,0,13,0.0267511826704652
"35",61,0.715919104614295,1705,0,0,10,0.0198341315367006
"36",68,0.47367194283288,1341,0,0,17,0.0223060223666375
"37",179,0.587945654965006,319,0,0,10,0.0461561681581757
"38",187,0.509670892194845,1961,0,0,17,0.0178338241177214
"39",95,0.214357994473539,986,0,0,3,0.0257483265116672
"40",115,0.128065821458586,1374,0,0,20,0.0214683996822022
"41",48,0.249087883462198,1127,0,0,11,0.023793998880257
"42",121,0.818992640497163,291,0,0,14,0.0479457568390362
"43",62,0.228149233665317,1657,0,0,19,0.0198632458635571
"44",180,0.166996757616289,1970,0,0,15,0.0180305506668906
"45",44,0.125716606806964,1897,0,0,18,0.0176349815833313
"46",66,0.475652712909505,990,0,0,3,0.0262801892150932
"47",138,0.86862523376476,1180,0,0,8,0.0245696660344743
"48",108,0.397440046421252,678,0,0,19,0.0307780252677825
"49",26,0.499992864113301,824,0,0,8,0.0268243075601004
"50",94,0.472134912386537,1504,0,0,6,0.0200342209840308
"51",170,0.416575705679134,1709,0,0,12,0.0192164940896128
"52",40,0.935065251542255,712,0,0,17,0.0294385496172273
"53",19,0.93704910071101,316,0,0,4,0.0462877441692431
"54",181,0.352236843900755,201,0,0,9,0.0657183085475979
"55",159,0.756378954602405,1215,0,0,20,0.0229409417830766
"56",76,0.295106409629807,1956,0,0,11,0.017940274138353
"57",61,0.946222999645397,1286,0,0,3,0.0221659811354085
"58",90,0.157869075867347,1931,0,0,13,0.0183980319029839
"59",111,0.989802022557706,101,0,0,10,0.0931126542550812
"60",146,0.289187632221729,1809,0,0,20,0.0186328310243564
"61",76,0.386679189815186,374,0,0,16,0.0457295761897897
"62",7,0.209592897817492,1981,0,0,10,0.0177172281761383
"63",68,0.625792821520008,388,0,0,10,0.0433116374734276
"64",174,0.692509070364758,1210,0,0,9,0.0233506475708004
"65",23,0.996548524848185,998,0,0,20,0.0256176277260112
"66",163,0.274660810199566,1800,0,0,10,0.0188628318671106
"67",176,0.834847047226503,291,0,0,11,0.0490675431112332
"68",125,0.657506853970699,827,0,0,8,0.0273494873409145
"69",113,0.987046397710219,928,0,0,13,0.026876526086289
"70",158,0.497612768644467,926,0,0,18,0.0267406625821635
"71",161,0.751766700483859,1443,0,0,12,0.0221688837726131
"72",43,0.168263760861009,323,0,0,7,0.0460216260805084
"73",153,0.667308476776816,1904,0,0,11,0.018136846209229
"74",189,0.293127806275152,684,0,0,5,0.0308906788830438
"75",121,0.92721479665488,1891,0,0,4,0.0180025772287625
"76",8,0.830756802950054,884,0,0,5,0.0260038167205741
"77",14,0.870504334289581,1073,0,0,3,0.0250392693287702
"78",187,0.835081521328539,596,0,0,10,0.0336693975913385
"79",39,0.475391521281563,468,0,0,5,0.0357520312133967
"80",119,0.979794193408452,962,0,0,8,0.0251467456052029
"81",119,0.54942729389295,1376,0,0,10,0.0212065922418505
"82",171,0.548714498104528,1048,0,0,17,0.0247958798639971
"83",34,0.40912502692081,1643,0,0,19,0.0194325801074963
"84",25,0.160614454676397,1800,0,0,20,0.0180698192813694
"85",42,0.916628804989159,879,0,0,5,0.0279677523320162
"86",129,0.299007762060501,439,0,0,18,0.0402600036702234
"87",134,0.367897503776476,1896,0,0,13,0.0183375658357815
"88",50,0.692688216362149,1627,0,0,7,0.0191799487456593
"89",40,0.609957918641157,668,0,0,14,0.0319381096099175
"90",186,0.974163151020184,1941,0,0,5,0.0174437785995914
"91",14,0.194439009902999,1867,0,0,8,0.0182703581602334
"92",41,0.589419033238664,278,0,0,6,0.0489837385818444
"93",176,0.923834921396337,774,0,0,12,0.0289645766336996
"94",200,0.88564366325736,232,0,0,11,0.0556239670957917
"95",103,0.91408501828555,555,0,0,17,0.0339850560814334
"96",139,0.800902507151477,207,0,0,12,0.0584743862688283
"97",15,0.250453963107429,1160,0,0,20,0.0242619863492127
"98",122,0.209246418229304,1818,0,0,13,0.0187132816648751
"99",134,0.206464717490599,765,0,0,20,0.0294942445476339
"100",109,0.488860832108185,927,0,0,4,0.0259738226883776
