"","q","q.p","n","rho","coef","K","sd"
"1",122,0.118061619577929,1221,0.779988337447867,1,15,0.00379106548707418
"2",198,0.442813330120407,1181,0.476465180749074,1,15,0.00343752646628148
"3",82,0.145792102254927,1547,0.53877469219733,1,5,0.00326878669461485
"4",144,0.818112643552013,1087,0.843869099090807,1,7,0.00377305500335805
"5",76,0.93132929187268,1648,0.855651688529179,1,15,0.00283264945942499
"6",131,0.58833853341639,107,0.594479071162641,1,14,0.0380143599053723
"7",45,0.867128140153363,357,0.0650579228298739,1,10,0.0106445547153724
"8",12,0.625206576962955,734,0.743698420794681,1,8,0.0126542587699988
"9",189,0.701491279155016,361,0.431589670199901,1,18,0.0120849389741696
"10",56,0.560183136863634,698,0.352105905069038,1,13,0.00619870553465171
"11",71,0.786475530359894,1652,0.269210498104803,1,14,0.00302183431396045
"12",172,0.913026059116237,1027,0.219877424603328,1,18,0.00389466939453546
"13",6,0.838427060958929,305,0.379629118577577,1,17,0.0294375952222932
"14",69,0.16428866465576,298,0.843993159220554,1,3,0.0163687536830857
"15",139,0.103506708750501,1712,0.238036604924127,1,14,0.00287401381592209
"16",33,0.146978754270822,1963,0.511711878608912,1,12,0.00375371475038873
"17",24,0.879904161766171,1993,0.181966110924259,1,12,0.00470381638501571
"18",128,0.618620652030222,558,0.173525064205751,1,6,0.00749003724647858
"19",84,0.382458314835094,1357,0.646750570647418,1,11,0.00309841324224573
"20",11,0.963519205409102,1652,0.282166105974466,1,7,0.00858630789674965
"21",49,0.632074381317943,1962,0.124551114602946,1,11,0.00293279812415561
"22",80,0.578268402209505,1178,0.0522276279749349,1,5,0.0037427858013747
"23",29,0.445543004386127,1654,0.837989677023143,1,4,0.00486577051479473
"24",95,0.387597906542942,852,0.511504210880958,1,14,0.00501220846591934
"25",145,0.827547629759647,1611,0.105993324494921,1,17,0.00264105721514398
"26",142,0.137727548624389,1394,0.508315033349209,1,19,0.00329376567417236
"27",98,0.427368425251916,497,0.486230564606376,1,5,0.00836025052325092
"28",131,0.870937270275317,1341,0.73771426663734,1,9,0.00311081206678113
"29",173,0.72815192064736,1278,0.632681553508155,1,15,0.00319416663492951
"30",16,0.716037825681269,1332,0.510973536246456,1,16,0.00757966652795354
"31",12,0.413213547458872,1668,0.649178339657374,1,4,0.00816906226797441
"32",75,0.599213646468706,917,0.677199792140163,1,11,0.00456474960063773
"33",19,0.223519255802967,885,0.343280337075703,1,17,0.00863403426346746
"34",87,0.806438400689512,759,0.259209253150038,1,3,0.00663179799853104
"35",181,0.898176314425655,446,0.478514994448051,1,12,0.00864041503955955
"36",171,0.283686294965446,1933,0.233681464218535,1,11,0.00236914655557586
"37",91,0.793560665310361,1197,0.748611286003143,1,11,0.00345069793797579
"38",126,0.636726664681919,1688,0.364827496279031,1,9,0.00245250925386288
"39",167,0.961902768164873,1954,0.065368733019568,1,20,0.0022057045718923
"40",138,0.24281955785118,1452,0.858382762153633,1,14,0.0028950825336461
"41",75,0.573376846732572,770,0.195465404656716,1,8,0.00538936320589693
"42",8,0.885836230777204,1462,0.365062740049325,1,9,0.0111436196475243
"43",85,0.882735463255085,154,0.563101483904757,1,18,0.025040801110973
"44",180,0.121319778915495,1370,0.565564323426224,1,18,0.00356096977027766
"45",12,0.978300724131987,1493,0.295414797775447,1,4,0.00913448185757398
"46",185,0.541201778384857,1653,0.125018542748876,1,4,0.00275316746804147
"47",71,0.450253290729597,975,0.823191453376785,1,16,0.004758565951214
"48",112,0.475799463898875,1167,0.539204370556399,1,9,0.00383707241107855
"49",132,0.183633238449693,959,0.674646386364475,1,8,0.00444637884388337
"50",185,0.245628289179876,1656,0.82705927065108,1,6,0.0025397696634756
"51",18,0.464874845650047,1664,0.475888856383972,1,5,0.00620451823046998
"52",160,0.407632999750786,1499,0.334780871425755,1,16,0.0029772190786186
"53",138,0.473731707897969,1031,0.0592274890048429,1,16,0.00387139120024935
"54",141,0.373647222178988,1207,0.768932931334712,1,18,0.00367364499632906
"55",165,0.604252483719029,634,0.459370171255432,1,12,0.00665064533629965
"56",120,0.24028673551511,1677,0.188998252758756,1,14,0.00269436791035931
"57",50,0.960921787726693,1832,0.338259093021043,1,20,0.00288284108971732
"58",68,0.139569962816313,293,0.186628949828446,1,5,0.0151278299629341
"59",23,0.434941968461499,1717,0.413316735508852,1,3,0.00532027152445409
"60",102,0.96635380727239,559,0.217352025071159,1,14,0.00682878768423511
"61",133,0.680884764157236,1953,0.106821290147491,1,19,0.00214787835053925
"62",184,0.155136352893896,675,0.0652222347445786,1,3,0.00755055924827666
"63",72,0.468951335642487,1200,0.621890864870511,1,6,0.00413785064185921
"64",94,0.483314620656893,1742,0.258261857321486,1,15,0.00275479192820719
"65",126,0.557342276233248,1814,0.134471245994791,1,20,0.00254738147396761
"66",79,0.504639919684269,1097,0.875188808259554,1,17,0.00423842632333135
"67",137,0.660935245151631,1781,0.369462951296009,1,15,0.00234219596350611
"68",23,0.225980137940496,1389,0.361632468807511,1,16,0.00571443416976215
"69",39,0.91715176072903,812,0.583700713771395,1,20,0.00572324105612771
"70",165,0.612498947279528,454,0.824675165698864,1,14,0.00823903964924366
"71",65,0.593452516524121,569,0.194995925039984,1,20,0.00701174470578727
"72",155,0.205144860269502,438,0.493198984698392,1,9,0.00973260953860806
"73",173,0.785825499100611,299,0.6480454120785,1,6,0.012432379944915
"74",195,0.530532502033748,1360,0.357521404721774,1,6,0.00304252247682165
"75",53,0.803772023203783,1092,0.0846012533409521,1,5,0.00452732825893506
"76",89,0.141423893743195,357,0.571406764537096,1,13,0.0130434205548056
"77",73,0.837860201019794,1503,0.00223092923406512,1,18,0.00315313374018997
"78",68,0.342467602691613,992,0.189470915822312,1,17,0.00465277639596818
"79",80,0.354565373063087,865,0.611120528541505,1,13,0.00481836630240136
"80",6,0.678899403521791,1235,0.779570217314176,1,8,0.0139808886708449
"81",122,0.953306954004802,1128,0.719727403996512,1,7,0.00346368689925363
"82",22,0.106298609008081,568,0.121496758516878,1,4,0.0109699339372607
"83",8,0.416455904813483,578,0.348748431913555,1,19,0.017798754015506
"84",110,0.477141152415425,711,0.709624736127444,1,7,0.00627113285993727
"85",115,0.512089117360301,1534,0.623622299940325,1,17,0.00268896733156676
"86",91,0.740523321391083,1530,0.534845674247481,1,5,0.00286051954582732
"87",122,0.92786325190682,1778,0.111471886234358,1,17,0.00219682630629971
"88",76,0.664399630529806,845,0.499570292467251,1,5,0.00535121533078664
"89",197,0.911963600502349,1738,0.404470249009319,1,4,0.00260385912298194
"90",124,0.781596243265085,1181,0.689549875818193,1,7,0.00340358789603952
"91",15,0.224072529096156,1514,0.0234879494877532,1,7,0.00770530727146797
"92",83,0.237929390207864,389,0.175654288684018,1,9,0.0109227336233725
"93",189,0.272180968197063,1410,0.793111108336598,1,4,0.00311647409760394
"94",60,0.489866626542062,565,0.0988214341225103,1,18,0.0074611243482234
"95",110,0.178497371659614,1653,0.871695835143328,1,10,0.00301116377559477
"96",19,0.301402000943199,587,0.346678733616136,1,20,0.0102048363853454
"97",184,0.614933811570518,913,0.772732266574167,1,11,0.00449352786550949
"98",112,0.460152260540053,1388,0.798646279145032,1,16,0.00314422999339947
"99",193,0.608918842603453,690,0.440182348689996,1,7,0.00592849362962543
"100",93,0.846661490830593,1770,0.646282628062181,1,15,0.00249842587439323
